dob,height,name,reach,stance,url
"Mar 11, 1991","5' 3""",Livinha Souza,"63""",Orthodox,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a
"Oct 20, 1987","5' 7""",Ashley Yoder,"69""",Southpaw,http://ufcstats.com/fighter-details/b4c6c904a9ffc5e8
"Sep 25, 1989","6' 3""",Chris Daukaus,"76""",Orthodox,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
"Apr 22, 1985","6' 0""",Parker Porter,"75""",Orthodox,http://ufcstats.com/fighter-details/ac40f7e3cbecdda4
"Jan 05, 1995","5' 7""",Kai Kamaka,"69""",Orthodox,http://ufcstats.com/fighter-details/eee0ef3e2b14816b
"Jan 21, 1987","5' 9""",Tony Kelley,"70""",Switch,http://ufcstats.com/fighter-details/1a08b01fdabb6ae2
"Feb 07, 1985","6' 3""",Derrick Lewis,"79""",Orthodox,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
"Jun 20, 1977","6' 2""",Aleksei Oleinik,"80""",Orthodox,http://ufcstats.com/fighter-details/98c23cb6da5b3352
"Jun 17, 1984","6' 2""",Chris Weidman,"78""",Orthodox,http://ufcstats.com/fighter-details/3a8176e15b9887c1
"Oct 12, 1987","6' 0""",Omari Akhmedov,"73""",Orthodox,http://ufcstats.com/fighter-details/16690d100f995f8f
"Dec 30, 1990","6' 0""",Darren Stewart,"74""",Orthodox,http://ufcstats.com/fighter-details/a17ad5a5048e8c3f
"Nov 24, 1990","5' 10""",Maki Pitolo,"75""",Orthodox,http://ufcstats.com/fighter-details/c549573c0df4d676
"Nov 11, 1989","5' 6""",Yana Kunitskaya,"68""",Orthodox,http://ufcstats.com/fighter-details/3143bf892608139a
"Apr 08, 1993","5' 7""",Julija Stoliarenko,"66""",,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb
"May 06, 1989","5' 10""",Beneil Dariush,"72""",Southpaw,http://ufcstats.com/fighter-details/08af939f41b5a57b
"Sep 30, 1983","5' 9""",Scott Holtzman,"69""",Orthodox,http://ufcstats.com/fighter-details/df1eb4354d18a906
"Feb 20, 1984","6' 2""",Tim Means,"75""",Orthodox,http://ufcstats.com/fighter-details/4b47e71384a9522f
"Feb 27, 1993","6' 1""",Laureano Staropoli,"71""",Orthodox,http://ufcstats.com/fighter-details/a12a8314adc1c1c9
"Nov 05, 1992","6' 3""",Kevin Holland,"81""",Orthodox,http://ufcstats.com/fighter-details/3a46b268013afede
"Apr 27, 1994","5' 10""",Joaquin Buckley,"76""",Southpaw,http://ufcstats.com/fighter-details/b9437600497350f3
"Aug 22, 1995","5' 10""",Nasrat Haqparast,"72""",Southpaw,http://ufcstats.com/fighter-details/b7b84ccd221be298
"Feb 27, 1990","5' 9""",Alexander Munoz,"72""",Switch,http://ufcstats.com/fighter-details/f8f1ec513bcfef43
"Apr 08, 1988","6' 1""",Andrew Sanchez,"74""",Orthodox,http://ufcstats.com/fighter-details/fccf811c1e8b01c7
"Jul 22, 1996","6' 0""",Wellington Turman,"72""",Orthodox,http://ufcstats.com/fighter-details/4dcfb28c011c11b2
"Jun 17, 1986","5' 6""",Gavin Tucker,"66""",Southpaw,http://ufcstats.com/fighter-details/da816417a579a0bd
"Aug 10, 1989","5' 7""",Justin Jaynes,"68""",Orthodox,http://ufcstats.com/fighter-details/304a21d0595e1a08
"Sep 04, 1996","5' 10""",Youssef Zalal,"72""",Switch,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613
"Aug 10, 1986","5' 10""",Peter Barrett,"73""",Southpaw,http://ufcstats.com/fighter-details/d21113c9ff3788ae
"Feb 14, 1989","5' 6""",Irwin Rivera,"67""",Southpaw,http://ufcstats.com/fighter-details/06a80a685ea98573
"Sep 23, 1990","5' 6""",Ali AlQaisi,"68""",Orthodox,http://ufcstats.com/fighter-details/e87a13e02c01331d
"Jan 04, 1984","6' 1""",Derek Brunson,"77""",Southpaw,http://ufcstats.com/fighter-details/b1a3e0aca758b322
"Nov 20, 1997","6' 2""",Edmen Shahbazyan,"74""",Orthodox,http://ufcstats.com/fighter-details/4144798612ef96e5
"Oct 06, 1988","5' 4""",Jennifer Maia,"64""",Orthodox,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
"Dec 23, 1985","5' 6""",Joanne Calderwood,"65""",Orthodox,http://ufcstats.com/fighter-details/12f91bfa8f1f723b
"Nov 27, 1991","5' 11""",Vicente Luque,"75""",Orthodox,http://ufcstats.com/fighter-details/6d4b63c767106d3a
"Jul 08, 1990","6' 3""",Randy Brown,"78""",Orthodox,http://ufcstats.com/fighter-details/c6aee362c7a7d482
"Sep 09, 1986","5' 10""",Bobby Green,"71""",Orthodox,http://ufcstats.com/fighter-details/887961364be5ceb3
"Mar 14, 1992","5' 9""",Lando Vannata,"71""",Orthodox,http://ufcstats.com/fighter-details/f9b200db02b488d9
"Apr 20, 1994","5' 8""",Jonathan Martinez,"70""",Southpaw,http://ufcstats.com/fighter-details/f2477cf43c4975cc
"Aug 12, 1980","5' 6""",Frankie Saenz,"66""",Orthodox,http://ufcstats.com/fighter-details/9ba2226646046b63
"Jun 27, 1991","5' 10""",Nate Maness,"72""",Orthodox,http://ufcstats.com/fighter-details/6e9f40c706f91f32
"Feb 16, 1993","5' 9""",Johnny Munoz,"71""",Orthodox,http://ufcstats.com/fighter-details/f6bcbd91b114ff58
"Jul 24, 1989","5' 10""",Jamall Emmers,"74""",Orthodox,http://ufcstats.com/fighter-details/e00a3dee329a51f7
"Nov 07, 1989","5' 6""",Vince Cachero,"68""",Orthodox,http://ufcstats.com/fighter-details/ed2a8cc402173781
"Apr 22, 1991","5' 9""",Chris Gutierrez,"67""",Orthodox,http://ufcstats.com/fighter-details/45f0cc9d18f35137
"Mar 29, 1991","5' 7""",Cody Durden,"67""",Southpaw,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
"Dec 20, 1990","6' 0""",Robert Whittaker,"73""",Orthodox,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce
"Dec 24, 1992","6' 0""",Darren Till,"74""",Southpaw,http://ufcstats.com/fighter-details/9ce6d5a03af801b7
"Nov 25, 1981","6' 1""",Mauricio Rua,"76""",Orthodox,http://ufcstats.com/fighter-details/140745cbbcb023ac
"Jun 02, 1976","6' 2""",Rogerio Nogueira,"75""",Southpaw,http://ufcstats.com/fighter-details/73e09f837f3b5ecc
"Jul 30, 1977","6' 4""",Fabricio Werdum,"77""",Orthodox,http://ufcstats.com/fighter-details/492b202d2064e7a9
"Jan 15, 1987","6' 5""",Alexander Gustafsson,"79""",Orthodox,http://ufcstats.com/fighter-details/3c6976f8182d9527
"Oct 10, 1987","5' 1""",Carla Esparza,"63""",Orthodox,http://ufcstats.com/fighter-details/d910665038efc639
"Apr 29, 1987","5' 6""",Marina Rodriguez,"65""",Orthodox,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
"Nov 27, 1987","6' 3""",Paul Craig,"76""",Orthodox,http://ufcstats.com/fighter-details/eabf206b162b3b83
"Feb 09, 1987","5' 11""",Gadzhimurad Antigulov,"70""",Orthodox,http://ufcstats.com/fighter-details/af997f7611673880
"Feb 21, 1988","5' 11""",Alex Oliveira,"76""",Orthodox,http://ufcstats.com/fighter-details/57b10fca4f9c9a7a
"Jan 11, 1987","6' 0""",Peter Sobotta,"75""",Southpaw,http://ufcstats.com/fighter-details/1fcfc3709fe58151
"May 01, 1994","6' 2""",Khamzat Chimaev,"75""",Orthodox,http://ufcstats.com/fighter-details/767755fd74662dbf
"Sep 10, 1995","6' 2""",Rhys McKee,"78""",Orthodox,http://ufcstats.com/fighter-details/f748267c4ab6c127
"Aug 24, 1978","5' 9""",Francisco Trinaldo,"70""",Southpaw,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
"May 13, 1988","6' 1""",Jai Herbert,"77""",Orthodox,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4
"Dec 24, 1985","5' 10""",Jesse Ronson,"70""",Southpaw,http://ufcstats.com/fighter-details/5580771f383e141f
"Nov 16, 1984","5' 11""",Nicolas Dalby,"74""",Orthodox,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8
"Apr 11, 1993","6' 5""",Tom Aspinall,"78""",Orthodox,http://ufcstats.com/fighter-details/399afbabc02376b5
"Oct 25, 1988","6' 3""",Jake Collier,"78""",Orthodox,http://ufcstats.com/fighter-details/92fa1401b7927da3
"Feb 11, 1994","5' 7""",Movsar Evloev,"72""",Orthodox,http://ufcstats.com/fighter-details/76e2870ffafbe38f
"Jan 03, 1987","5' 7""",Mike Grundy,"72""",Orthodox,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b
"Aug 02, 1991","6' 2""",Tanner Boser,"75""",Orthodox,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
"Mar 09, 1989","6' 3""",Raphael Pessoa,"78""",Orthodox,http://ufcstats.com/fighter-details/41f90012b86a11bf
"Dec 08, 1991","5' 7""",Pannie Kianzad,"66""",Orthodox,http://ufcstats.com/fighter-details/91dac5e69e28d5b5
"Jun 22, 1983","5' 5""",Bethe Correia,"64""",Orthodox,http://ufcstats.com/fighter-details/673ea7dcc786b1b3
"May 23, 1987","5' 10""",Ramazan Emeev,"76""",Southpaw,http://ufcstats.com/fighter-details/abd5fb12437eda21
"Dec 28, 1992","6' 1""",Niklas Stolze,"74""",Switch,http://ufcstats.com/fighter-details/62f7097c04311193
"May 08, 1993","5' 6""",Nathaniel Wood,"69""",Orthodox,http://ufcstats.com/fighter-details/329e403448756217
"Dec 18, 1991","5' 6""",John Castaneda,"71""",Switch,http://ufcstats.com/fighter-details/5fa2974cbd18e05c
"Dec 18, 1987","5' 5""",Deiveson Figueiredo,"68""",Orthodox,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
"Jul 31, 1984","5' 4""",Joseph Benavidez,"65""",Southpaw,http://ufcstats.com/fighter-details/80eacd4da0617c57
"Jun 10, 1988","6' 1""",Jack Hermansson,"77""",Orthodox,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
"Oct 24, 1991","5' 9""",Kelvin Gastelum,"71""",Southpaw,http://ufcstats.com/fighter-details/8c0580d4fff106c1
"Mar 05, 1993","5' 8""",Rafael Fiziev,"71""",Switch,http://ufcstats.com/fighter-details/c814b4c899793af6
"Mar 16, 1993","5' 10""",Marc Diakiese,"73""",Orthodox,http://ufcstats.com/fighter-details/32c355b04fc57f3a
"Jan 26, 1994","5' 6""",Ariane Lipski,"67""",Orthodox,http://ufcstats.com/fighter-details/6551c64fbcd1a467
"Jun 11, 1993","5' 6""",Luana Carolina,"69""",Orthodox,http://ufcstats.com/fighter-details/528b071cf3da7c56
"Oct 09, 1992","5' 6""",Askar Askarov,"67""",Orthodox,http://ufcstats.com/fighter-details/b1d19449397541dc
"Apr 16, 1990","5' 5""",Alexandre Pantoja,"67""",Orthodox,http://ufcstats.com/fighter-details/a0f0004aadf10b71
"Jul 15, 1988","6' 2""",Roman Dolidze,"76""",Orthodox,http://ufcstats.com/fighter-details/327d5f279895110d
"May 21, 1995","6' 3""",Khadis Ibragimov,"78""",Orthodox,http://ufcstats.com/fighter-details/c3218c810959d279
"Feb 20, 1994","5' 10""",Grant Dawson,"72""",Switch,http://ufcstats.com/fighter-details/99bd51917728c25d
"Apr 14, 1987","5' 8""",Nad Narimani,"70""",Orthodox,http://ufcstats.com/fighter-details/776a58a67665a171
"Mar 02, 1994","6' 3""",Joel Alvarez,"77""",Orthodox,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
"Feb 18, 1988","5' 10""",Joe Duffy,"73""",Orthodox,http://ufcstats.com/fighter-details/654ae722109a0d31
"Feb 21, 1992","5' 7""",Brett Johns,"71""",Orthodox,http://ufcstats.com/fighter-details/ec52462a1b41f714
"Apr 24, 1992","5' 10""",Montel Jackson,"75""",Southpaw,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
"Oct 27, 1993","5' 5""",Amir Albazi,"68""",Orthodox,http://ufcstats.com/fighter-details/6d35bf94f7d30241
"May 19, 1990","5' 7""",Malcolm Gordon,"71""",Switch,http://ufcstats.com/fighter-details/dee294e9717012c2
"Oct 11, 1996","5' 7""",Arman Tsarukyan,"72""",Orthodox,http://ufcstats.com/fighter-details/eae48ff31db420c2
"Nov 05, 1986","5' 6""",Davi Ramos,"70""",Orthodox,http://ufcstats.com/fighter-details/0052de90691d4a93
"Jan 24, 1995","6' 3""",Serghei Spivac,"78""",Orthodox,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c
"Jan 12, 1995","6' 0""",Carlos Felipe,"75""",Orthodox,http://ufcstats.com/fighter-details/a2ea77e974c5889f
"Mar 26, 1988","5' 11""",Calvin Kattar,"72""",Orthodox,http://ufcstats.com/fighter-details/751de04455cfaac0
"Aug 06, 1991","5' 7""",Dan Ige,"71""",Orthodox,http://ufcstats.com/fighter-details/82a5152216251682
"Dec 24, 1986","5' 7""",Tim Elliott,"66""",Southpaw,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
"Aug 25, 1989","5' 5""",Ryan Benoit,"68""",Orthodox,http://ufcstats.com/fighter-details/20999e27ddd94bda
"Jun 29, 1989","5' 4""",Jimmie Rivera,"68""",Orthodox,http://ufcstats.com/fighter-details/9c907996820d2d69
"Nov 09, 1989","5' 6""",Cody Stamann,"64""",Orthodox,http://ufcstats.com/fighter-details/bf7ad5628363eec9
"Jun 22, 1993","5' 6""",Taila Santos,"68""",Orthodox,http://ufcstats.com/fighter-details/f7467152fd9f18a2
"May 04, 1990","5' 4""",Molly McCann,"62""",Orthodox,http://ufcstats.com/fighter-details/51018a31ddf31eb2
"Nov 16, 1987","6' 1""",Mounir Lazzez,"76""",Orthodox,http://ufcstats.com/fighter-details/49ee5024966efc0d
"Aug 11, 1985","5' 10""",Abdul Razak Alhassan,"73""",Orthodox,http://ufcstats.com/fighter-details/eae431e70064e046
"Jun 09, 1985","5' 11""",John Phillips,"75""",Southpaw,http://ufcstats.com/fighter-details/e9ac7bfb65c25497
"Jul 22, 1991","5' 9""",Lerone Murphy,"73""",Orthodox,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
"Aug 01, 1995","5' 9""",Ricardo Ramos,"72""",Orthodox,http://ufcstats.com/fighter-details/1ae8f3c723aacff4
"Feb 10, 1994","6' 3""",Modestas Bukauskas,"78""",Switch,http://ufcstats.com/fighter-details/476fe566d2df676e
"Jul 18, 1988","6' 0""",Andreas Michailidis,"76""",Orthodox,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4
"Sep 06, 1988","5' 9""",Jared Gordon,"68""",Orthodox,http://ufcstats.com/fighter-details/7026eca45f65377b
"Jun 06, 1992","5' 8""",Chris Fishgold,"68""",Orthodox,http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f
"Mar 22, 1995","5' 4""",Liana Jojua,"62""",Orthodox,http://ufcstats.com/fighter-details/eebc23626e38f5dc
"Jun 26, 1996","5' 7""",Diana Belbita,"68""",Orthodox,http://ufcstats.com/fighter-details/d7e40dca3ae125be
"Feb 06, 1995","5' 8""",Jack Shore,"71""",Orthodox,http://ufcstats.com/fighter-details/b8a85389d115e35a
"Aug 05, 1989","5' 9""",Aaron Phillips,"71""",Southpaw,http://ufcstats.com/fighter-details/34c2b3656f88f7ef
"May 11, 1987","6' 0""",Kamaru Usman,"76""",Switch,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e
"Nov 12, 1984","5' 11""",Jorge Masvidal,"74""",Orthodox,http://ufcstats.com/fighter-details/47b9e0e7703a4868
"Sep 29, 1988","5' 6""",Alexander Volkanovski,"71""",Orthodox,http://ufcstats.com/fighter-details/e1248941344b3288
"Dec 04, 1991","5' 11""",Max Holloway,"69""",Orthodox,http://ufcstats.com/fighter-details/150ff4cc642270b9
"Feb 11, 1993","5' 7""",Petr Yan,"67""",Switch,http://ufcstats.com/fighter-details/d661ce4da776fc20
"Sep 09, 1986","5' 7""",Jose Aldo,"70""",Orthodox,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
"Jun 29, 1992","5' 5""",Rose Namajunas,"65""",Orthodox,http://ufcstats.com/fighter-details/47b63240018d5d86
"Sep 25, 1991","5' 1""",Jessica Andrade,"62""",Orthodox,http://ufcstats.com/fighter-details/6a1901c62ab3870f
"Aug 26, 1993","5' 3""",Amanda Ribas,"66""",Orthodox,http://ufcstats.com/fighter-details/beecb672a279223e
"Mar 26, 1994","5' 4""",Paige VanZant,"65""",Orthodox,http://ufcstats.com/fighter-details/4d5197f331c47290
"Oct 14, 1992","6' 3""",Jiri Prochazka,"80""",Orthodox,http://ufcstats.com/fighter-details/009341ed974bad72
"Sep 19, 1989","6' 2""",Volkan Oezdemir,"75""",Orthodox,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
"Jun 09, 1984","5' 11""",Muslim Salikhov,"70""",Orthodox,http://ufcstats.com/fighter-details/447f9858ae78f921
"Dec 11, 1986","5' 11""",Elizeu Zaleski dos Santos,"73""",Orthodox,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
"Nov 08, 1988","5' 10""",Makwan Amirkhani,"72""",Southpaw,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
"Jul 17, 1988","6' 0""",Danny Henry,"73""",Orthodox,http://ufcstats.com/fighter-details/f7d73e452b064bf2
"Feb 05, 1980","6' 0""",Leonardo Santos,"75""",Orthodox,http://ufcstats.com/fighter-details/9c65736747ca92ec
"Dec 15, 1990","5' 8""",Roman Bogatov,"73""",Orthodox,http://ufcstats.com/fighter-details/d61316139d68dbe3
"Nov 09, 1985","6' 3""",Marcin Tybura,"78""",Orthodox,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
"May 02, 1984","6' 3""",Maxim Grishin,"78""",Orthodox,http://ufcstats.com/fighter-details/950d0ef5c17157c5
"Oct 17, 1995","5' 8""",Raulian Paiva,"69""",Orthodox,http://ufcstats.com/fighter-details/82b4e942781b1046
"Aug 29, 1988","5' 4""",Zhalgas Zhumagulov,"66""",Switch,http://ufcstats.com/fighter-details/55fa6ce3e522c8bb
"Dec 30, 1994","5' 5""",Karol Rosa,"67""",Orthodox,http://ufcstats.com/fighter-details/351c4ec637380ad5
"Mar 27, 1988","5' 5""",Vanessa Melo,"65""",Orthodox,http://ufcstats.com/fighter-details/9b7dfb3b7d99926a
"Dec 18, 1985","5' 8""",Davey Grant,"69""",Orthodox,http://ufcstats.com/fighter-details/113df4fde64735c6
"Nov 10, 1988","5' 10""",Martin Day,"73""",Orthodox,http://ufcstats.com/fighter-details/ea3dcc417c322064
"Jan 19, 1989","5' 9""",Dustin Poirier,"72""",Southpaw,http://ufcstats.com/fighter-details/029eaff01e6bb8f0
"Feb 13, 1990","6' 0""",Dan Hooker,"75""",Switch,http://ufcstats.com/fighter-details/193b9d1858bc4df3
"Sep 15, 1991","5' 10""",Mike Perry,"71""",Orthodox,http://ufcstats.com/fighter-details/f2b6fdb20675b11c
"Jan 22, 1992","6' 2""",Mickey Gall,"74""",Switch,http://ufcstats.com/fighter-details/9e50097a89442158
"Jul 05, 1986","6' 7""",Maurice Greene,"80""",Orthodox,http://ufcstats.com/fighter-details/068f8a189a47fea6
"Aug 18, 1985","6' 3""",Gian Villante,"76""",Orthodox,http://ufcstats.com/fighter-details/fcd448a2fe1a23cc
"Dec 28, 1995","6' 2""",Brendan Allen,"75""",Orthodox,http://ufcstats.com/fighter-details/2f181c0467965b98
"Feb 27, 1993","6' 3""",Kyle Daukaus,"76""",Southpaw,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
"Jun 09, 1990","5' 10""",Takashi Sato,"73""",Southpaw,http://ufcstats.com/fighter-details/8abac218746e04ca
"Nov 07, 1986","5' 10""",Jason Witt,"70""",Orthodox,http://ufcstats.com/fighter-details/5f3805dda9661cba
"Jul 31, 1989","6' 1""",Julian Erosa,"74""",Southpaw,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a
"Jun 07, 1992","6' 2""",Sean Woodson,"78""",Orthodox,http://ufcstats.com/fighter-details/4682bc59d5f55145
"Oct 15, 1986","5' 11""",Khama Worthy,"74""",Orthodox,http://ufcstats.com/fighter-details/78e501478a36a018
"Jul 05, 1993","6' 3""",Luis Pena,"75""",Southpaw,http://ufcstats.com/fighter-details/2844b047183a1adb
"Aug 17, 1985","6' 2""",Philipe Lins,"78""",Orthodox,http://ufcstats.com/fighter-details/53c943c873cffe90
"Aug 14, 1999","5' 2""",Kay Hansen,"63""",Orthodox,http://ufcstats.com/fighter-details/4100c7a09497ad41
"May 20, 1985","5' 3""",Jinh Yu Frey,"65""",Southpaw,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
"Feb 28, 1990","5' 10""",Jordan Griffin,"73""",Southpaw,http://ufcstats.com/fighter-details/ebef46976554f975
"Feb 18, 1991","6' 4""",Curtis Blaydes,"80""",Orthodox,http://ufcstats.com/fighter-details/fa6796c55d6c5440
"Oct 24, 1988","6' 7""",Alexander Volkov,"80""",Orthodox,http://ufcstats.com/fighter-details/279566840aa55bf2
"Mar 04, 1985","5' 6""",Josh Emmett,"70""",Orthodox,http://ufcstats.com/fighter-details/fba03cd6cc28dc41
"Mar 19, 1991","5' 11""",Shane Burgos,"75""",Orthodox,http://ufcstats.com/fighter-details/98d961097baaf308
"Sep 05, 1988","5' 7""",Raquel Pennington,"67""",Orthodox,http://ufcstats.com/fighter-details/fc169c387b4b465d
"Jun 20, 1977","5' 6""",Marion Reneau,"68""",Orthodox,http://ufcstats.com/fighter-details/c7d297714d9ab1a4
"Jul 09, 1988","5' 11""",Belal Muhammad,"72""",Orthodox,http://ufcstats.com/fighter-details/b1b0729d27936f2f
"May 26, 1985","6' 0""",Lyman Good,"74""",Orthodox,http://ufcstats.com/fighter-details/4e0692ad070976e4
"Feb 11, 1994","6' 2""",Roosevelt Roberts,"73""",Orthodox,http://ufcstats.com/fighter-details/37c5366d18ed6c05
"Dec 08, 1981","5' 7""",Clay Guida,"70""",Orthodox,http://ufcstats.com/fighter-details/c47df9303d318c67
"Aug 16, 1989","5' 1""",Tecia Torres,"60""",Orthodox,http://ufcstats.com/fighter-details/31ef8b67e13495b3
"Aug 04, 1993","5' 0""",Brianna Van Buren,"62""",Southpaw,http://ufcstats.com/fighter-details/b53c46f613f6f248
"Feb 18, 1990","6' 1""",Marc-Andre Barriault,"74""",Orthodox,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
"Jan 24, 1990","6' 0""",Oskar Piechota,"76""",Southpaw,http://ufcstats.com/fighter-details/1cf7ccf64a5bf24e
"May 17, 1995","5' 5""",Gillian Robertson,"63""",Orthodox,http://ufcstats.com/fighter-details/38c7f72747f4f712
"May 05, 1987","5' 7""",Cortney Casey,"67""",Orthodox,http://ufcstats.com/fighter-details/5f179af5fffeb9f6
"May 18, 1989","5' 10""",Frank Camacho,"73""",Orthodox,http://ufcstats.com/fighter-details/764342d39cdaa54a
"Jul 27, 1983","5' 5""",Lauren Murphy,"67""",Orthodox,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97
"Sep 24, 1982","5' 7""",Roxanne Modafferi,"69""",Orthodox,http://ufcstats.com/fighter-details/4498b382c65a7faa
"Dec 22, 1991","5' 10""",Austin Hubbard,"71""",Orthodox,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
"Sep 27, 1994","6' 1""",Max Rohskopf,"71""",Orthodox,http://ufcstats.com/fighter-details/59a27d2e6d0802ac
"Jul 13, 1987","5' 4""",Cynthia Calvillo,"64""",Orthodox,http://ufcstats.com/fighter-details/98215d037be5bcb7
"Jul 27, 1986","5' 6""",Jessica Eye,"66""",Orthodox,http://ufcstats.com/fighter-details/f72465a784c1b084
"Sep 20, 1993","6' 0""",Marvin Vettori,"74""",Southpaw,http://ufcstats.com/fighter-details/7acbb0972e75281a
"Oct 04, 1990","6' 1""",Karl Roberson,"74""",Southpaw,http://ufcstats.com/fighter-details/37d5b176d438d2a5
"Aug 24, 1986","5' 9""",Charles Rosa,"69""",Switch,http://ufcstats.com/fighter-details/40093d1d2d78394e
"Sep 07, 1988","5' 7""",Kevin Aguilar,"73""",Orthodox,http://ufcstats.com/fighter-details/cf946e03ba2e7666
"Jun 25, 1990","5' 11""",Andre Fili,"74""",Orthodox,http://ufcstats.com/fighter-details/8fd808923cffff82
"Nov 27, 1995","5' 9""",Charles Jourdain,"69""",Switch,http://ufcstats.com/fighter-details/f1d64ae34e088832
"Nov 08, 1989","5' 6""",Jordan Espinosa,"69""",Orthodox,http://ufcstats.com/fighter-details/215a70f073a7b726
"Aug 31, 1994","5' 6""",Mark De La Rosa,"65""",Orthodox,http://ufcstats.com/fighter-details/f57dd0bfa8c17813
"Apr 07, 1997","5' 6""",Mariya Agapova,"68""",Southpaw,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
